Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
led-cool-light,LED-лампа для отбеливания Cool-Light,"<h2>Что это? </h2>
<p>Это светодиодная лампа для профессионального отбеливания, которая применяется во время процедуры осветления зубов в кабинете стоматолога. </p>
<p>Крепится на кронштейн или стоматологическую установку</p>
<h2>Что в комплекте?</h2>
Основной блок<br>Детали и болты крепления",Amazing White,Профессиональное отбеливание зубов,"amazing-white, dentist, profiessionalnoie-otbielivaniie-zubov",true,Title,Default Title,,,,,"",0,,1,deny,manual,42999.00,43299.00,true,true,"",https://cdn.shopify.com/s/files/1/1339/0281/products/amazing_white_cool_light_svetodiodnaya_lampa_dlya_otbelivaniya_zubov_krepitsya_na_ustanovku_901-600x600.jpg?v=1484645344,1,,false,,,,,,,,,,,,,,,,,kg,
celebrity-extra-37,Набор для отбеливания зубов Celebrity EXTRA 37%,"<h2>Что это? </h2>
<p>Это набор для профессионального отбеливания зубов в стоматологическом кабинете, <span>на основе 37% раствора H2O2</span></p>
<p>Набор рассчитан для приема 4 пациентов </p>
<h2>Характеристики: </h2>
<p><span>Активация вещества происходит в сменной канюле, непосредственно в момент нанесения. Это значит, что вещество, оставшееся в шприце не активируется и его можно использовать в другой процедуре. Срок годности составляет 1 год.</span></p>
<p><span>Данный набор с химическим активатором может приментяться LED-лампой, что увеличивает эффект отбеливания</span></p>
<h2>Комплектация: </h2>
<p>Отбеливающий гель: 2 сдвоенных шприца</p>
<p>Жидкий коффердам Liquid Dam</p>
<p>Реминерализующий гель Amazing White Minerals</p>
<p>Витамин Е</p>
<p>Ретракторы</p>
<p>Брашик</p>
<p>Сменные канюли</p>
<p>Нагрудная салфетка</p>",Amazing White,Профессиональное отбеливание зубов,"amazing-white, dentist, profiessionalnoie-otbielivaniie-zubov",true,Title,Default Title,,,,,"",0,,1,deny,manual,4999.00,5199.00,true,true,"",https://cdn.shopify.com/s/files/1/1339/0281/products/amazing_white_universal_extra_37_activator_agent_na_4_persony_nabor_dlya_effektivnogo_otbelivaniya_s_lampoy_ili_bez_116-600x600.jpg?v=1484579885,1,,false,,,,,,,,,,,,,,,,,kg,
synea-fusion-tg-97,Турбинный наконечник Synea Fusion TG-97,"<h2>Что это?</h2>
<p><span>Это турбинный стоматологический наконечник с четырехточечным спреем предназначен для соединения RotoQuick серии Synea Fusion</span></p>
<h2>Характеристики:</h2>
<p>Тип боров: <span>FG 1.6 мм</span></p>
<p>Максимальная скорость: <span>390 000 </span> оборотов в минуту </p>
<p>Мощность: 16  Вт</p>
<p>Размер головки: 10 <span>мм </span></p>
<p><span>Охлаждение: непрерывное Quattro Spray, четырехточечный чспрей</span></p>
<p><span>Размеры: 170.00 мм x 80.00 мм x 30.00 мм</span></p>
<p><span>Корпус: нержавеющая сталь с покрытием </span></p>",W&H DentalWerk,Стоматологические наконечники,"dentist, stomatologhichieskiie-nakoniechniki, w-h-dentalwerk",true,Title,Default Title,,,,,"",0,,1,deny,manual,30399.00,30699.00,true,true,"",https://cdn.shopify.com/s/files/1/1339/0281/products/synea_fusion_tg_97_turbinnyy_nakonechnik_bez_sveta_chetyrehtochechnym_spreem_diametrom_golovki_10_mm_pod_soedinenie_roto_quick_717-600x600.png?v=1484562608,1,,false,,,,,,,,,,,,,,,,,kg,
cx207-c-spq,Турбинный наконечник CX207-C-SPQ,"<h2>Что это?</h2>
<p>Это цветной <span>турбинный </span>стоматологический наконечник со стандартной головкой и быстросъемным переходником COXO</p>
<h2>Характеристики: </h2>
<p>Охлождение: одиночный спрей</p>
<p>Фиксация: кнопочный зажим</p>
<p>Соединение: 2-х или 4-канальное</p>
<p>Тип головки: стандартная или ортопедическая головка</p>
<p>Давление воздуха: 0,2~0,24 МПа</p>
<p>Скорость вращения: 300 000 оборотов в минуту</p>
<p>Диаметр бора: 1,59 - 1,6 мм</p>
<p>Длина бора: 21 - 23 мм</p>
<p>Материал корпуса: алюминиевый сплав</p>
<p>Цвет: Красный, черный, золотой, сиреневый, синий </p>
<p><strong>Наличие цветов уточняйте у менеджера </strong></p>",COXO,Стоматологические наконечники,"coxo, dentist, stomatologhichieskiie-nakoniechniki",true,Title,Default Title,,,,,"",0,,1,deny,manual,8999.00,10299.00,true,true,"",https://cdn.shopify.com/s/files/1/1339/0281/products/cx207-c-spq-coxo-kitai-a18008-600x600.jpg?v=1484562080,1,,false,,,,,,,,,,,,,,,,,kg,
cx207-c-spq,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1339/0281/products/cx207-c-spq-coxo-kitai-3644-600x600.jpg?v=1484562081,2,,,,,,,,,,,,,,,,,,,,
cx207-c-spq,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1339/0281/products/cx207-c-spq-coxo-kitai-a18013-600x600.jpg?v=1484562081,3,,,,,,,,,,,,,,,,,,,,
cx207-c-spq,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1339/0281/products/cx207-c-spq-coxo-kitai-a18012-600x600.jpg?v=1484562082,4,,,,,,,,,,,,,,,,,,,,
cx207-c-spq,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1339/0281/products/cx207-c-spq-coxo-kitai-a18014-600x600.jpg?v=1484562082,5,,,,,,,,,,,,,,,,,,,,
cx207-c-spq,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1339/0281/products/cx207-c-spq-coxo-kitai-a18011-600x600.jpg?v=1484562083,6,,,,,,,,,,,,,,,,,,,,
t4-racer-borden,Турбинный наконечник T4 Racer Borden,"<h2>Что это?</h2>
<p>Это <span>турбинный </span>стоматологический наконечник со стандартной головкой, предназначенный <span>для 2/3-х канального соединения серии T4 Racer, которая имеет надежный хромированный корпус</span></p>
<h2>Характеристики: </h2>
<p>Мощность: 17<span> Вт</span></p>
<p><span>Скорость холостого хода: до 400 000 оборотов в минут </span></p>
<p><span>Диаметр головки: 11,4 мм</span></p>
<p><span>Высота головки: 14,5 мм</span></p>
<p><span>Свет: нет</span></p>
<p>Фиксация: кнопочный зажим</p>
<p><span>Корпус: хромированная сталь</span></p>
<p>Тип соединения: 2/3-х канальный разъем Borden</p>
<p><span>Тип сверла: 314/315 ISO</span></p>
<p> </p>",Sirona,Стоматологические наконечники,"dentist, sirona, stomatologhichieskiie-nakoniechniki",true,Title,Default Title,,,,,"",0,,1,deny,manual,11999.00,12399.00,true,true,"",https://cdn.shopify.com/s/files/1/1339/0281/products/t4-racer-borden-sirona-germaniya-3461-600x600_1.jpg?v=1484561409,1,,false,,,,,,,,,,,,,,,,,kg,
