
( 2017-05-21 16:02:40 (MSK) ) Выброшено исключение: SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
( 2017-05-21 16:02:40 (MSK) ) Выброшено исключение: SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
( 2017-05-21 17:56:01 (MSK) ) Сработала функция exceptionCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: Imagine\Exception\RuntimeException; Информация об ошибке: Imagick not installed; Файл: D:\OpenServer\domains\pot2\vendor\imagine\imagine\lib\Imagine\Imagick\Imagine.php; Строка: 36
( 2017-05-21 18:26:00 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: unlink(thumbnails/products_img/COXO/24656_cx207-c-spq-coxo-kitai-a18008-600x600.jpg): No such file or directory; Файл: D:\OpenServer\domains\pot2\engine\handlers\imagedropper.php; Строка: 22
( 2017-05-21 18:26:00 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: unlink(thumbnails/products_img/Uncategorized/25592_cx207-c-spq-coxo-kitai-3644-600x600.jpg): No such file or directory; Файл: D:\OpenServer\domains\pot2\engine\handlers\imagedropper.php; Строка: 22
( 2017-05-21 18:26:00 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: unlink(thumbnails/products_img/Uncategorized/26215_cx207-c-spq-coxo-kitai-a18013-600x600.jpg): No such file or directory; Файл: D:\OpenServer\domains\pot2\engine\handlers\imagedropper.php; Строка: 22
( 2017-05-21 18:26:00 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: unlink(thumbnails/products_img/Uncategorized/2772_cx207-c-spq-coxo-kitai-a18012-600x600.jpg): No such file or directory; Файл: D:\OpenServer\domains\pot2\engine\handlers\imagedropper.php; Строка: 22
( 2017-05-21 18:26:00 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: unlink(thumbnails/products_img/Uncategorized/28342_cx207-c-spq-coxo-kitai-a18014-600x600.jpg): No such file or directory; Файл: D:\OpenServer\domains\pot2\engine\handlers\imagedropper.php; Строка: 22
( 2017-05-21 18:26:00 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: unlink(thumbnails/products_img/Uncategorized/29188_cx207-c-spq-coxo-kitai-a18011-600x600.jpg): No such file or directory; Файл: D:\OpenServer\domains\pot2\engine\handlers\imagedropper.php; Строка: 22
( 2017-05-21 18:26:00 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: unlink(thumbnails/products_img/Sirona/300_t4-racer-borden-sirona-germaniya-3461-600x600_1.jpg): No such file or directory; Файл: D:\OpenServer\domains\pot2\engine\handlers\imagedropper.php; Строка: 22
( 2017-05-21 18:26:00 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: unlink(thumbnails/products_img/Uncategorized/3114_t4-racer-midwest-sirona-germaniya-a15757-600x600_1.jpg): No such file or directory; Файл: D:\OpenServer\domains\pot2\engine\handlers\imagedropper.php; Строка: 22
( 2017-05-21 18:26:01 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: unlink(thumbnails/products_img/Sirona/3274_t3-racer-borden-sirona-germaniya-3457-600x600.jpg): No such file or directory; Файл: D:\OpenServer\domains\pot2\engine\handlers\imagedropper.php; Строка: 22
( 2017-05-21 18:26:01 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: unlink(thumbnails/products_img/Uncategorized/33251_t3-racer-midwest-sirona-germaniya-a15730-600x600.png): No such file or directory; Файл: D:\OpenServer\domains\pot2\engine\handlers\imagedropper.php; Строка: 22
( 2017-05-21 18:26:01 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: unlink(thumbnails/products_img/Sirona/3463_t4-racer-borden-sirona-germaniya-3461-600x600.jpg): No such file or directory; Файл: D:\OpenServer\domains\pot2\engine\handlers\imagedropper.php; Строка: 22
( 2017-05-21 18:26:01 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: unlink(thumbnails/products_img/Uncategorized/35701_t4-racer-midwest-sirona-germaniya-a15757-600x600.jpg): No such file or directory; Файл: D:\OpenServer\domains\pot2\engine\handlers\imagedropper.php; Строка: 22
